Galaxy Name,Hubble Type (1),Distance,Mean error on D,Distance Method (2),Inclination,Mean error on Inc,Total Luminosity at [3.6],Mean error on L[3.6],Effective Radius at [3.6],Effective Surface Brightness at [3.6],Disk Scale Length at [3.6],Disk Central Surface Brightness at [3.6],Total HI Mass,HI radius at 1 Msun/pc2,Asymptotically Flat Rotation Velocity,Mean error on Vflat,Quality Flag,References for HI and Ha data,References for HI and Ha data 2,
CamB,10,3.36,0.26,2,65,5,0.075,0.003,1.21,7.89,0.47,66.2,0.012,1.21,0,0,2,Bm03,,
D512-2,10,15.2,4.56,1,56,10,0.325,0.022,2.37,9.22,1.24,93.94,0.081,0,0,0,2,Tr09,,
D564-8,10,8.79,0.28,2,63,7,0.033,0.004,0.72,10.11,0.61,21.13,0.029,0,0,0,2,Tr09,,
D631-7,10,7.72,0.18,2,59,3,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0,57.7,2.7,1,Tr09,dB01,
DDO064,10,6.8,2.04,1,60,5,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,dB02,Sw02,
DDO154,10,4.04,0.2,2,64,3,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47,1,2,Be91,CB89,
DDO161,10,7.5,2.25,1,70,10,0.548,0.015,2.04,20.74,1.22,169.37,1.378,10.69,66.3,1.9,1,Co00,,
DDO168,10,4.25,0.21,2,63,6,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,Sa96,Br92,
DDO170,10,15.4,4.62,1,66,7,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60,1.6,2,Be91,La90,
ESO079-G014,4,28.7,7.17,1,79,5,51.733,0.524,7.23,157.34,5.08,2295.25,3.14,17.67,175,3.5,1,Ge04,,
ESO116-G012,7,13,3.9,1,74,3,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,,
ESO444-G084,10,4.83,0.48,2,32,6,0.071,0.003,0.75,19.81,0.46,66.81,0.135,2.95,0,0,2,Co00,,
ESO563-G021,4,60.8,9.1,1,83,3,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,,
F561-1,9,66.4,10,1,24,10,4.077,0.327,5.39,22.12,2.79,93.07,1.622,10.69,50,2.9,3,dB97,dB96,
F563-1,9,48.9,9.8,1,25,5,1.903,0.17,4.61,14.22,3.52,41.77,3.2,23.47,109.9,12.5,1,KN08,dB96,
F563-V1,10,54,10.8,1,60,10,1.54,0.165,5.01,9.75,3.79,40.63,0.61,6.83,0,0,3,dB97,dB96,
F563-V2,10,59.7,11.9,1,29,10,2.986,0.267,4.49,23.6,2.43,146.16,2.169,11.37,116.6,9.4,1,dB01,dB96,
F565-V2,10,51.8,10.4,1,60,10,0.559,0.098,3.57,6.93,2.17,40.26,0.699,7.31,0,0,2,dB97,dB96,
F567-2,9,79,11.8,1,20,10,2.134,0.305,5.43,11.5,3.08,46.65,2.449,14.94,0,0,3,dB97,dB96,
F568-1,5,90.7,9.7,1,26,5,6.252,0.564,7,20.36,5.18,57.13,4.498,16.31,0,0,1,dB01,dB96,
F568-3,7,82.4,8.24,1,40,10,8.346,0.592,7.47,23.81,4.99,132.08,3.195,16.14,0,0,1,KN08,dB96,
F568-V1,7,80.6,8.06,1,40,10,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,dB01,dB96,
F571-8,5,53.3,10.7,1,85,5,10.164,0.412,1.4,825.71,3.56,87.26,1.782,24.55,139.7,4.3,1,dB01,dB96,
F571-V1,7,80.1,8,1,30,10,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,dB97,dB96,
F574-1,7,96.8,9.68,1,65,10,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,dB01,dB96,
F574-2,9,89.1,8.91,1,30,10,2.877,0.384,6.48,10.89,3.76,41.38,1.701,12.61,0,0,3,dB97,dB96,
F579-V1,5,89.5,8.95,1,26,10,11.848,0.742,5.76,56.6,3.37,201.76,2.245,20.96,112.1,13.4,1,dB01,dB96,
F583-1,9,35.4,8.85,1,63,5,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,KN08,dB96,
F583-4,5,53.3,10.7,1,55,10,1.715,0.185,3.31,24.94,1.93,83.34,0.641,7.8,0,0,1,KN08,dB96,
IC2574,9,3.91,0.2,2,75,7,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2,2,Sa96,MC94,
IC4202,4,100.4,10,1,90,1,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11,1,SG06,,
KK98-251,10,6.8,2.04,1,59,5,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,,
NGC0024,5,7.3,0.36,2,64,3,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,Di08,Ch06,
NGC0055,9,2.11,0.11,2,77,3,4.628,0.013,3.67,54.55,6.11,391.59,1.565,10.24,85.6,5,2,Sa96,Pu91,
NGC0100,6,13.5,4.05,1,89,1,3.232,0.063,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,6.4,1,dB02,Rh96,
NGC0247,7,3.7,0.19,2,74,3,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8,2,Sa96,Ca90,
NGC0289,4,20.8,5.2,1,46,5,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163,8,2,Wa97,,
NGC0300,7,2.08,0.1,2,42,10,2.922,0.008,1.77,147.51,1.75,437.35,0.936,9.2,93.3,7,2,Sa96,CP90,
NGC0801,5,80.7,8.07,1,80,1,312.57,3.455,7.76,818.14,8.72,1558.94,23.201,44.99,220.1,6.2,1,Sa96,Br92,
NGC0891,3,9.91,0.5,2,90,1,138.34,0.255,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,5.7,1,Fr11,,
NGC1003,6,11.4,3.42,1,67,5,6.82,0.075,2.76,140.87,1.61,1345.33,5.88,33.33,109.8,4.2,1,Sa96,Br92,
